"
",S.N.,"
",Traded Companies,"
",No. Of Transaction,"
",Max Price,"
",Min Price,"
",Closing Price,"
",Traded Shares,"
",Amount,"
",Previous Closing,"
",Difference Rs.,"
"
,164,,Reliance Finance Ltd.,,79,,348.00,,330.00,,330.00,,10041.00,,3363907.40,,347.80,,-17.80,
,165,,Ridi Power Company Limited,,467,,580.00,,559.00,,579.00,,113471.00,,64024318.50,,575.00,,4.00,
,166,,River Falls Power Limited,,260,,271.10,,252.90,,258.00,,17589.00,,4580455.20,,267.00,,-9.00,
,167,,RMDC Laghubitta Bittiya Sanstha Ltd.,,84,,878.90,,840.00,,847.90,,5390.00,,4597130.00,,864.00,,-16.10,
,168,,RSDC Laghubitta Bittiya Sanstha Ltd.,,44,,555.00,,545.00,,545.00,,2487.00,,1362601.00,,550.00,,-5.00,
,169,,Ru Ru Jalbidhyut Pariyojana Limited,,29,,878.00,,832.00,,832.00,,1149.00,,977084.00,,861.00,,-29.00,
,170,,SABAIKO LAGHUBITTA BITTIYA SANSTHA LIMITED,,32,,1060.00,,1031.00,,1040.00,,811.00,,846756.10,,1079.00,,-39.00,
,171,,Sadhana Laghubitta Bittiya Sanstha Limited,,12,,1000.00,,990.00,,990.00,,107.00,,106064.00,,1000.00,,-10.00,
,172,,Sahas Urja Limited,,233,,500.00,,485.00,,487.00,,19471.00,,9532039.50,,496.90,,-9.90,
,173,,Salt Trading Corporation,,53,,3850.00,,3805.00,,3840.00,,1443.00,,5516412.00,,3891.00,,-51.00,
,174,,Samata Gharelu Laghubitta Bittiya Sanstha Limited,,14,,846.00,,801.20,,801.20,,286.00,,235762.00,,830.10,,-28.90,
,175,,Samling Power Company Limited,,65,,497.00,,460.00,,464.00,,3304.00,,1534472.70,,470.50,,-6.50,
,176,,Samriddhi Finance Company Limited,,79,,288.00,,275.00,,276.00,,12216.00,,3387034.20,,284.00,,-8.00,
,177,,Samudayik Laghubitta Bittiya Sanstha Limited,,9,,1400.00,,1360.00,,1397.00,,193.00,,263793.00,,1386.00,,11.00,
,178,,Sana Kisan Bikas Laghubitta Bittiya Sanstha Limited,,80,,1078.00,,1060.00,,1060.00,,5368.00,,5728352.00,,1088.00,,-28.00,
,179,,Sanima Bank Limited,,115,,256.00,,253.00,,254.80,,13693.00,,3487532.50,,254.90,,-0.10,
,180,,Sanima Equity Fund,,6,,12.39,,12.29,,12.39,,27225.00,,335900.25,,12.38,,0.01,
,181,,Sanima Large Cap Fund,,2,,7.81,,7.81,,7.81,,1000.00,,7810.00,,7.91,,-0.10,
,182,,Sanima Mai Hydropower Ltd.,,227,,318.00,,309.20,,311.80,,38813.00,,12081589.60,,318.00,,-6.20,
,183,,SANJEN JALAVIDHYUT COMPANY LIMITED,,57,,242.00,,236.10,,238.90,,7039.00,,1677814.20,,240.00,,-1.10,
,184,,Saptakoshi Development Bank Ltd,,62,,235.10,,226.40,,228.10,,8240.00,,1890989.80,,234.50,,-6.40,
,185,,Shangri-la Development Bank Debenture 2087,,1,,790.00,,790.00,,790.00,,25.00,,19750.00,,791.00,,-1.00,
,186,,Shangrila Development Bank Ltd.,,96,,319.70,,308.00,,308.30,,20049.00,,6247530.90,,313.50,,-5.20,
,187,,Shikhar Insurance Co. Ltd.,,164,,780.00,,765.00,,765.00,,9107.00,,7010267.40,,773.10,,-8.10,
,188,,Shine Resunga Development Bank Ltd.,,101,,311.90,,302.00,,304.00,,14495.00,,4418477.90,,308.40,,-4.40,
,189,,Shiva Shree Hydropower Ltd,,52,,212.00,,207.30,,212.00,,7015.00,,1469062.80,,212.00,,0.00,
,190,,SHIVAM CEMENTS LTD,,314,,676.00,,662.10,,666.00,,45970.00,,30668871.40,,670.10,,-4.10,
,191,,Shree Investment Finance Co. Ltd.,,56,,333.00,,323.50,,323.50,,5898.00,,1928702.00,,338.90,,-15.40,
,192,,Siddhartha Bank Limited,,212,,309.00,,304.00,,306.00,,19550.00,,5962037.00,,309.90,,-3.90,
,193,,Siddhartha Equity Fund,,10,,8.50,,8.28,,8.28,,17918.00,,149686.00,,8.52,,-0.24,
,194,,Siddhartha Investment Growth Scheme - 2,,5,,8.80,,8.70,,8.70,,6200.00,,54370.00,,8.78,,-0.08,
,195,,Sindhu Bikash Bank Ltd,,96,,296.00,,280.00,,290.00,,18409.00,,5306385.00,,295.00,,-5.00,
,196,,Singati Hydro Energy Limited,,78,,268.70,,255.00,,256.00,,8234.00,,2134535.60,,263.50,,-7.50,
,197,,Soaltee Hotel Limited,,67,,213.50,,207.60,,207.90,,28374.00,,5921195.40,,211.00,,-3.10,
,198,,Standard Chartered Bank Limited,,65,,427.00,,419.00,,422.80,,5671.00,,2385873.70,,421.40,,1.40,
,199,,Summit Laghubitta Bittiya Sanstha Limited,,12,,846.00,,827.10,,827.10,,647.00,,539367.40,,838.00,,-10.90,
,200,,Sunrise Bank Limited,,171,,210.00,,207.00,,209.00,,45163.00,,9414979.20,,207.40,,1.60,
,201,,Sunrise Bluechip Fund,,9,,8.09,,7.80,,7.80,,2600.00,,20494.00,,7.94,,-0.14,
,202,,Sunrise First Mutual Fund,,17,,11.19,,10.81,,11.00,,47510.00,,521944.20,,11.00,,0.00,
,203,,Support Microfinance Bittiya Sanstha Ltd.,,10,,1303.00,,1285.00,,1285.00,,173.00,,222973.00,,1305.00,,-20.00,
,204,,Suryodaya Womi Laghubitta Bittiya Sanstha Limited,,42,,757.50,,746.10,,750.00,,1720.00,,1289773.80,,759.10,,-9.10,
,205,,Swabalamban Laghubitta Bittiya Sanstha Limited,,106,,1280.00,,1235.00,,1245.00,,5129.00,,6396420.10,,1260.00,,-15.00,
,206,,Swabhimaan Laghubitta Bittiya Sanstha Limited,,6,,1545.00,,1534.00,,1541.00,,118.00,,181814.00,,1565.00,,-24.00,
